S.NO.,TXN DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BOOKING AMOUNT",CREDITED ON,"CUST.ACC.NO.",REMARKS
1,04-Apr-2024,100004895167250,150900878871393,1967.7,05-Apr-2024,0754,
2,04-Apr-2024,100004895167346,211565878877708,1967.7,05-Apr-2024,0754,
3,04-Apr-2024,100004895202103,475375878878738,173.15,05-Apr-2024,1391,
4,04-Apr-2024,100004895078560,117785878893716,342.7,05-Apr-2024,0754,
5,04-Apr-2024,100004895060815,182146878895054,218.15,05-Apr-2024,9972,
6,04-Apr-2024,100004895178290,168176878896223,1699.5,05-Apr-2024,4444,
7,04-Apr-2024,100004895136371,104939878897817,9655.4,05-Apr-2024,0670,
8,04-Apr-2024,100004895178400,127580878906150,758.6,05-Apr-2024,4444,
9,04-Apr-2024,100004895236431,161337878907706,508.15,05-Apr-2024,7333,
10,04-Apr-2024,100004895250302,599144878908023,1925.85,05-Apr-2024,7698,
11,04-Apr-2024,100004895124603,137835878915729,283.15,05-Apr-2024,7333,
12,04-Apr-2024,100004895125688,573628878925815,2296.3,05-Apr-2024,3391,
13,04-Apr-2024,100004895125814,101005878934001,2296.3,05-Apr-2024,3391,
14,04-Apr-2024,100004895095875,212749878936669,1566.3,05-Apr-2024,0640,
15,04-Apr-2024,100004895178871,103796878945300,433.15,05-Apr-2024,7333,
16,04-Apr-2024,100004895181941,154230878948303,1865.85,05-Apr-2024,6732,
17,04-Apr-2024,100004895346016,184033878949458,507.7,05-Apr-2024,7333,
18,04-Apr-2024,100004895467127,672769878966661,132.7,05-Apr-2024,9972,
19,04-Apr-2024,100004895244978,185636878967784,610.85,05-Apr-2024,8986,
20,04-Apr-2024,100004895374166,658080878973410,610.85,05-Apr-2024,8986,
21,04-Apr-2024,100004895356198,876228878976857,587.7,05-Apr-2024,0132,
22,04-Apr-2024,100004895382282,938831878980588,1157.7,05-Apr-2024,8827,
23,04-Apr-2024,100004895290322,171847878986291,500,05-Apr-2024,9720,
24,04-Apr-2024,100004895382337,318108878985858,777.7,05-Apr-2024,8827,
25,04-Apr-2024,100004895429506,176412878990505,100,05-Apr-2024,9720,
26,04-Apr-2024,100004895338328,183089878995878,412.7,05-Apr-2024,5937,
27,04-Apr-2024,100004895474443,553565878996852,638.6,05-Apr-2024,3427,
28,04-Apr-2024,100004895462493,127864879003793,1786.3,05-Apr-2024,2103,
29,04-Apr-2024,100004895380534,179958879014448,495.4,05-Apr-2024,1411,
30,04-Apr-2024,100004895450631,830815879015824,362.7,05-Apr-2024,6063,
31,04-Apr-2024,100004895358560,172045879017575,667.7,05-Apr-2024,5474,
32,04-Apr-2024,100004895467653,916035879018461,343.15,05-Apr-2024,0271,
33,04-Apr-2024,100004895422750,486173879021939,133.15,05-Apr-2024,1580,
34,04-Apr-2024,100004895380585,200937879021050,485.4,05-Apr-2024,1411,
35,04-Apr-2024,100004895422814,658099879027684,133.15,05-Apr-2024,1580,
36,04-Apr-2024,100004895326722,129850879028593,208.15,05-Apr-2024,5474,
37,04-Apr-2024,100004895306722,625816879034720,1205.85,05-Apr-2024,8812,
38,04-Apr-2024,100004895294824,121673879035790,459.5,05-Apr-2024,8770,
39,04-Apr-2024,100004895383826,346544879045165,107.7,05-Apr-2024,0291,
40,04-Apr-2024,100004895497036,217480879046463,319.5,05-Apr-2024,8770,
41,04-Apr-2024,100004895712193,423320879111658,2780.4,05-Apr-2024,3174,
42,04-Apr-2024,100004895712236,686257879118264,2780.4,05-Apr-2024,3174,
43,04-Apr-2024,100004895502527,913266879135266,765.4,05-Apr-2024,7577,
44,04-Apr-2024,100004895617612,687739879151248,172.7,05-Apr-2024,1234,
45,04-Apr-2024,100004895612831,970585879179522,398.6,05-Apr-2024,0662,
46,04-Apr-2024,100004895601853,104614879187440,342.7,05-Apr-2024,8827,
47,04-Apr-2024,100004895683774,150296879192136,4866.3,05-Apr-2024,0631,
48,04-Apr-2024,100004895681907,106870879208677,1205.4,05-Apr-2024,5550,
49,04-Apr-2024,100004895640001,144983879214004,1205.85,05-Apr-2024,5550,
50,04-Apr-2024,100004895769058,101020879216334,870.4,05-Apr-2024,6154,
51,04-Apr-2024,100004895754102,729459879222468,163.15,05-Apr-2024,4380,
52,04-Apr-2024,100004895802111,151517879228356,930.4,05-Apr-2024,0562,
53,04-Apr-2024,100004895736268,275317879234564,1157.7,05-Apr-2024,9448,
54,04-Apr-2024,100004895875044,181940879236195,2615.4,05-Apr-2024,8004,
55,04-Apr-2024,100004895736299,111057879237422,1157.7,05-Apr-2024,9448,
56,04-Apr-2024,100004895875109,246901879243758,3255.4,05-Apr-2024,8004,
57,04-Apr-2024,100004895736351,136932879245748,402.7,05-Apr-2024,9072,
